location_id,name,latitude,longitude,location_type_id
228,Uzbekistan,41.75554225,63.14001528,3
229,Vatican,41.90174985,12.43387177,3
230,"St. Vin. and Gren.",13.22472269,-61.20129695,3
231,Venezuela,7.12422421,-66.18184123,3
232,"British Virgin Is.",18.52585755,-64.47146992,3
233,"U.S. Virgin Is.",17.95500624,-64.80301538,3
234,Vietnam,16.6460167,106.299147,3
235,Vanuatu,-16.22640909,167.6864464,3
236,"Wallis and Futuna Is.",-13.88737039,-177.3483483,3
237,Samoa,-13.75324346,-172.1648506,3
238,Yemen,15.90928005,47.58676189,3
239,"South Africa",-29.00034095,25.08390093,3
240,Zambia,-13.45824152,27.77475946,3
241,Zimbabwe,-19.00420419,29.8514412,3
242,"Ahmedabad, India",23.033863,72.585022,1
243,"Aizawl, India",23.727106,92.717636,1
244,"Amaravati, India",20.937424,77.779549,1
245,"Amritsar, India",31.63398,74.872261,1
246,"Bengaluru, India",12.972442,77.580643,1
247,"Bhopal, India",23.259933,77.412613,1
248,"Brajrajnagar, India",21.494277,83.551813,1
249,"Chandigarh, India",30.741482,76.768066,1
250,"Chennai, India",13.067439,80.237617,1
251,"Coimbatore, India",11.004556,76.961632,1
252,"Delhi, India",28.6448,77.216721,1
253,"Ernakulam, India",9.5848,76.1648,1
254,"Gurugram, India",28.457523,77.026344,1
255,"Guwahati, India",26.115103,91.703239,1
256,"Hyderabad, India",17.38714,78.491684,1
257,"Jaipur, India",26.92207,75.778885,1
258,"Jorapokhar, India",22.422455,85.760651,1
259,"Kochi, India",9.931233,76.267303,1
260,"Kolkata, India",22.572645,88.363892,1
261,"Lucknow, India",26.85,80.949997,1
262,"Mumbai, India",19.07609,72.877426,1
263,"Patna, India",25.612677,85.158875,1
264,"Shillong, India",25.3432,91.525927,1
265,"Talcher, India",20.951542,85.215668,1
266,"Thiruvananthapuram, India",8.524139,76.936638,1
267,"Visakhapatnam, India",17.686815,83.218483,1
268,"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Korea",37.5720164,127.0050075,5
269,"15, Deoksugung-gil, Jung-gu, Seoul, Korea",37.5642629,126.9746757,5
